gen: auroc=0.97724, auprc=0.98214
dis: auroc=0.70490, auprc=0.70375
gen: auroc=0.98214, auprc=0.98593
dis: auroc=0.64796, auprc=0.64355
gen: auroc=0.98378, auprc=0.98785
dis: auroc=0.64240, auprc=0.62602
gen: auroc=0.98469, auprc=0.98879
dis: auroc=0.65704, auprc=0.62771
gen: auroc=0.98464, auprc=0.98897
dis: auroc=0.65005, auprc=0.60631
gen: auroc=0.98515, auprc=0.98954
dis: auroc=0.60811, auprc=0.57096
gen: auroc=0.98582, auprc=0.99028
dis: auroc=0.60112, auprc=0.54927
gen: auroc=0.98490, auprc=0.98980
dis: auroc=0.60046, auprc=0.54804
gen: auroc=0.98520, auprc=0.99019
dis: auroc=0.58125, auprc=0.53738
gen: auroc=0.98480, auprc=0.99009
dis: auroc=0.58480, auprc=0.54455
gen: auroc=0.98413, auprc=0.98986
dis: auroc=0.48929, auprc=0.25000
gen: auroc=0.98372, auprc=0.98956
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.98291, auprc=0.98915
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98250, auprc=0.98898
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98194, auprc=0.98865
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98138, auprc=0.98829
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98122, auprc=0.98821
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98107, auprc=0.98832
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98092, auprc=0.98831
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98107, auprc=0.98837
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98107, auprc=0.98829
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98133, auprc=0.98858
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98173, auprc=0.98903
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98219, auprc=0.98945
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98224, auprc=0.98947
dis: auroc=0.49643, auprc=0.25000
gen: auroc=0.98168, auprc=0.98896
dis: auroc=0.59367, auprc=0.55126
gen: auroc=0.98148, auprc=0.98870
dis: auroc=0.60541, auprc=0.55920
gen: auroc=0.98138, auprc=0.98853
dis: auroc=0.60117, auprc=0.55557
gen: auroc=0.98112, auprc=0.98819
dis: auroc=0.58755, auprc=0.54572
gen: auroc=0.97995, auprc=0.98679
dis: auroc=0.58250, auprc=0.54099
