gen: auroc=0.90526, auprc=0.88784
dis: auroc=0.82449, auprc=0.82946
gen: auroc=0.91429, auprc=0.89561
dis: auroc=0.75663, auprc=0.72137
gen: auroc=0.92189, auprc=0.90133
dis: auroc=0.72291, auprc=0.66898
gen: auroc=0.92638, auprc=0.90577
dis: auroc=0.71066, auprc=0.61887
gen: auroc=0.92995, auprc=0.90939
dis: auroc=0.69959, auprc=0.59804
gen: auroc=0.93321, auprc=0.91278
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.93730, auprc=0.91609
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94041, auprc=0.91854
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94444, auprc=0.92258
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94684, auprc=0.92507
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94745, auprc=0.92620
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94852, auprc=0.92676
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94939, auprc=0.92778
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95046, auprc=0.92799
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95184, auprc=0.92884
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95214, auprc=0.92888
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95153, auprc=0.92779
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95153, auprc=0.92803
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95240, auprc=0.92890
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95423, auprc=0.93027
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95531, auprc=0.93070
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95643, auprc=0.93187
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95597, auprc=0.93036
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95561, auprc=0.92917
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95566, auprc=0.92866
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95724, auprc=0.93010
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95643, auprc=0.92918
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95556, auprc=0.92866
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.95633, auprc=0.92955
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.96026, auprc=0.93459
dis: auroc=0.49286, auprc=0.25000
