gen: auroc=0.95983, auprc=0.95830
dis: auroc=0.74622, auprc=0.76249
gen: auroc=0.96474, auprc=0.96282
dis: auroc=0.67356, auprc=0.68506
gen: auroc=0.96849, auprc=0.96600
dis: auroc=0.68073, auprc=0.69339
gen: auroc=0.97052, auprc=0.96753
dis: auroc=0.68222, auprc=0.67244
gen: auroc=0.97251, auprc=0.96924
dis: auroc=0.70249, auprc=0.68270
gen: auroc=0.97422, auprc=0.97124
dis: auroc=0.66167, auprc=0.64514
gen: auroc=0.97589, auprc=0.97314
dis: auroc=0.63325, auprc=0.62657
gen: auroc=0.97640, auprc=0.97401
dis: auroc=0.60577, auprc=0.59102
gen: auroc=0.97737, auprc=0.97562
dis: auroc=0.58596, auprc=0.57555
gen: auroc=0.97723, auprc=0.97591
dis: auroc=0.54570, auprc=0.53749
gen: auroc=0.97723, auprc=0.97576
dis: auroc=0.55870, auprc=0.54215
gen: auroc=0.97663, auprc=0.97541
dis: auroc=0.55597, auprc=0.54162
gen: auroc=0.97644, auprc=0.97514
dis: auroc=0.56125, auprc=0.55470
gen: auroc=0.97672, auprc=0.97486
dis: auroc=0.56837, auprc=0.56918
gen: auroc=0.97705, auprc=0.97464
dis: auroc=0.57731, auprc=0.57881
gen: auroc=0.97663, auprc=0.97364
dis: auroc=0.57925, auprc=0.58783
gen: auroc=0.97728, auprc=0.97412
dis: auroc=0.57777, auprc=0.58526
gen: auroc=0.97705, auprc=0.97397
dis: auroc=0.59026, auprc=0.59790
gen: auroc=0.97723, auprc=0.97459
dis: auroc=0.60396, auprc=0.59434
gen: auroc=0.97695, auprc=0.97418
dis: auroc=0.60479, auprc=0.59755
gen: auroc=0.97626, auprc=0.97270
dis: auroc=0.59869, auprc=0.58699
gen: auroc=0.97580, auprc=0.97163
dis: auroc=0.58439, auprc=0.57555
gen: auroc=0.97538, auprc=0.97106
dis: auroc=0.58152, auprc=0.55739
gen: auroc=0.97473, auprc=0.97110
dis: auroc=0.55995, auprc=0.55843
gen: auroc=0.97459, auprc=0.97105
dis: auroc=0.56773, auprc=0.56922
gen: auroc=0.97510, auprc=0.97188
dis: auroc=0.56523, auprc=0.57285
gen: auroc=0.97478, auprc=0.97192
dis: auroc=0.56824, auprc=0.57298
gen: auroc=0.97515, auprc=0.97236
dis: auroc=0.56347, auprc=0.57527
gen: auroc=0.97547, auprc=0.97272
dis: auroc=0.56069, auprc=0.58330
gen: auroc=0.97506, auprc=0.97244
dis: auroc=0.55986, auprc=0.58085
