gen: auroc=0.98198, auprc=0.96326
dis: auroc=0.83658, auprc=0.85063
gen: auroc=0.98576, auprc=0.96662
dis: auroc=0.75965, auprc=0.78134
gen: auroc=0.98727, auprc=0.96799
dis: auroc=0.72665, auprc=0.73730
gen: auroc=0.98823, auprc=0.96884
dis: auroc=0.69061, auprc=0.68494
gen: auroc=0.98843, auprc=0.96901
dis: auroc=0.70761, auprc=0.69441
gen: auroc=0.98902, auprc=0.96959
dis: auroc=0.69763, auprc=0.69113
gen: auroc=0.98912, auprc=0.96973
dis: auroc=0.69193, auprc=0.66297
gen: auroc=0.98942, auprc=0.97009
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98967, auprc=0.97033
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98971, auprc=0.97046
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98969, auprc=0.97048
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98944, auprc=0.97032
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98864, auprc=0.96933
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98827, auprc=0.96879
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98780, auprc=0.96810
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98780, auprc=0.96822
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98748, auprc=0.96770
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98780, auprc=0.96840
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98745, auprc=0.96779
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98658, auprc=0.96655
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98638, auprc=0.96629
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98601, auprc=0.96585
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98606, auprc=0.96642
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98565, auprc=0.96599
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98524, auprc=0.96559
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98496, auprc=0.96557
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98453, auprc=0.96580
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98430, auprc=0.96586
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98343, auprc=0.96484
dis: auroc=0.49789, auprc=0.25000
gen: auroc=0.98232, auprc=0.96309
dis: auroc=0.49789, auprc=0.25000
