gen: auroc=0.97458, auprc=0.95706
dis: auroc=0.81746, auprc=0.83811
gen: auroc=0.98115, auprc=0.96177
dis: auroc=0.73332, auprc=0.74575
gen: auroc=0.98489, auprc=0.96407
dis: auroc=0.69675, auprc=0.70237
gen: auroc=0.98853, auprc=0.96659
dis: auroc=0.69382, auprc=0.68523
gen: auroc=0.99037, auprc=0.96811
dis: auroc=0.68549, auprc=0.65877
gen: auroc=0.99110, auprc=0.96880
dis: auroc=0.65609, auprc=0.62436
gen: auroc=0.99151, auprc=0.96919
dis: auroc=0.49740, auprc=0.44878
gen: auroc=0.99164, auprc=0.96937
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99178, auprc=0.96951
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99192, auprc=0.96963
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99197, auprc=0.96971
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99189, auprc=0.96973
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99173, auprc=0.96966
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99197, auprc=0.96987
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99268, auprc=0.97028
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99295, auprc=0.97044
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99254, auprc=0.97008
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99268, auprc=0.97017
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99238, auprc=0.96982
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99276, auprc=0.97018
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99273, auprc=0.97004
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99243, auprc=0.96963
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99265, auprc=0.96999
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99254, auprc=0.96997
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99211, auprc=0.96956
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99118, auprc=0.96832
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99113, auprc=0.96832
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.99010, auprc=0.96723
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.98923, auprc=0.96612
dis: auroc=0.49999, auprc=0.49870
gen: auroc=0.98931, auprc=0.96661
dis: auroc=0.49999, auprc=0.49870
