gen: auroc=0.96121, auprc=0.96365
dis: auroc=0.71187, auprc=0.74456
gen: auroc=0.96801, auprc=0.96823
dis: auroc=0.67659, auprc=0.75692
gen: auroc=0.97056, auprc=0.97058
dis: auroc=0.67999, auprc=0.74731
gen: auroc=0.97354, auprc=0.97249
dis: auroc=0.67712, auprc=0.71349
gen: auroc=0.97460, auprc=0.97350
dis: auroc=0.64364, auprc=0.65654
gen: auroc=0.97556, auprc=0.97390
dis: auroc=0.65756, auprc=0.67546
gen: auroc=0.97502, auprc=0.97216
dis: auroc=0.67478, auprc=0.68742
gen: auroc=0.97577, auprc=0.97263
dis: auroc=0.62897, auprc=0.64056
gen: auroc=0.97779, auprc=0.97567
dis: auroc=0.64502, auprc=0.63857
gen: auroc=0.97896, auprc=0.97746
dis: auroc=0.65469, auprc=0.60865
gen: auroc=0.97896, auprc=0.97730
dis: auroc=0.64226, auprc=0.61259
gen: auroc=0.97874, auprc=0.97827
dis: auroc=0.63737, auprc=0.62590
gen: auroc=0.97747, auprc=0.97728
dis: auroc=0.63344, auprc=0.61704
gen: auroc=0.97609, auprc=0.97542
dis: auroc=0.60495, auprc=0.57165
gen: auroc=0.97630, auprc=0.97656
dis: auroc=0.63503, auprc=0.58233
gen: auroc=0.97641, auprc=0.97640
dis: auroc=0.66394, auprc=0.59985
gen: auroc=0.97545, auprc=0.97450
dis: auroc=0.66585, auprc=0.60160
gen: auroc=0.97672, auprc=0.97593
dis: auroc=0.65894, auprc=0.60048
gen: auroc=0.97757, auprc=0.97753
dis: auroc=0.66606, auprc=0.61744
gen: auroc=0.97694, auprc=0.97628
dis: auroc=0.65714, auprc=0.61329
gen: auroc=0.97726, auprc=0.97673
dis: auroc=0.66638, auprc=0.62686
gen: auroc=0.97736, auprc=0.97676
dis: auroc=0.51031, auprc=0.54959
gen: auroc=0.97757, auprc=0.97669
dis: auroc=0.49485, auprc=0.25000
gen: auroc=0.97991, auprc=0.97954
dis: auroc=0.49485, auprc=0.25000
gen: auroc=0.98002, auprc=0.98009
dis: auroc=0.49485, auprc=0.25000
gen: auroc=0.98108, auprc=0.98179
dis: auroc=0.49485, auprc=0.25000
gen: auroc=0.98087, auprc=0.98177
dis: auroc=0.49485, auprc=0.25000
gen: auroc=0.98151, auprc=0.98222
dis: auroc=0.49485, auprc=0.25000
gen: auroc=0.98055, auprc=0.98087
dis: auroc=0.54033, auprc=0.55966
gen: auroc=0.98098, auprc=0.98150
dis: auroc=0.60942, auprc=0.56214
