gen: auroc=0.91509, auprc=0.90621
dis: auroc=0.89015, auprc=0.82833
gen: auroc=0.95490, auprc=0.94517
dis: auroc=0.84883, auprc=0.79655
gen: auroc=0.96044, auprc=0.94586
dis: auroc=0.84077, auprc=0.79345
gen: auroc=0.97279, auprc=0.94442
dis: auroc=0.79667, auprc=0.75680
gen: auroc=0.97430, auprc=0.94625
dis: auroc=0.79340, auprc=0.76102
gen: auroc=0.96800, auprc=0.91741
dis: auroc=0.78055, auprc=0.75201
gen: auroc=0.95767, auprc=0.90329
dis: auroc=0.78105, auprc=0.75228
gen: auroc=0.94533, auprc=0.89127
dis: auroc=0.78534, auprc=0.75881
gen: auroc=0.92794, auprc=0.87968
dis: auroc=0.77627, auprc=0.75174
gen: auroc=0.92593, auprc=0.87141
dis: auroc=0.78483, auprc=0.76458
gen: auroc=0.90325, auprc=0.84494
dis: auroc=0.78584, auprc=0.76471
gen: auroc=0.87100, auprc=0.80487
dis: auroc=0.80020, auprc=0.77629
gen: auroc=0.87251, auprc=0.78683
dis: auroc=0.79743, auprc=0.77504
gen: auroc=0.81330, auprc=0.75377
dis: auroc=0.79945, auprc=0.77584
gen: auroc=0.82514, auprc=0.77308
dis: auroc=0.80071, auprc=0.78637
gen: auroc=0.80045, auprc=0.74971
dis: auroc=0.81330, auprc=0.79932
gen: auroc=0.80927, auprc=0.75326
dis: auroc=0.80398, auprc=0.78840
gen: auroc=0.81330, auprc=0.76234
dis: auroc=0.78886, auprc=0.76823
gen: auroc=0.77425, auprc=0.71644
dis: auroc=0.77148, auprc=0.74617
gen: auroc=0.77475, auprc=0.71328
dis: auroc=0.76594, auprc=0.72939
gen: auroc=0.74981, auprc=0.70156
dis: auroc=0.77274, auprc=0.73492
gen: auroc=0.75283, auprc=0.70268
dis: auroc=0.77702, auprc=0.74396
gen: auroc=0.76594, auprc=0.71509
dis: auroc=0.77954, auprc=0.74443
gen: auroc=0.72865, auprc=0.69594
dis: auroc=0.51587, auprc=0.75794
gen: auroc=0.66415, auprc=0.65447
dis: auroc=0.51587, auprc=0.75794
gen: auroc=0.68783, auprc=0.63827
dis: auroc=0.51587, auprc=0.75794
gen: auroc=0.70522, auprc=0.65337
dis: auroc=0.51587, auprc=0.75794
gen: auroc=0.70597, auprc=0.64154
dis: auroc=0.51587, auprc=0.75794
gen: auroc=0.69237, auprc=0.63512
dis: auroc=0.51587, auprc=0.75794
gen: auroc=0.68330, auprc=0.65811
dis: auroc=0.51587, auprc=0.75794
