gen: auroc=1.00000, auprc=1.00000
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.93750, auprc=0.92624
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.89062, auprc=0.88770
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.79688, auprc=0.80200
dis: auroc=0.98438, auprc=0.98524
gen: auroc=0.70312, auprc=0.58912
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.65625, auprc=0.70525
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.92188, auprc=0.92475
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.67188, auprc=0.61897
dis: auroc=1.00000, auprc=1.00000
gen: auroc=0.64062, auprc=0.54920
dis: auroc=0.98438, auprc=0.98524
gen: auroc=0.78125, auprc=0.85156
dis: auroc=0.98438, auprc=0.98524
gen: auroc=0.79688, auprc=0.84941
dis: auroc=0.95312, auprc=0.96420
gen: auroc=0.53125, auprc=0.61724
dis: auroc=0.95312, auprc=0.96420
gen: auroc=0.78125, auprc=0.80189
dis: auroc=0.90625, auprc=0.94437
gen: auroc=0.82812, auprc=0.87612
dis: auroc=0.90625, auprc=0.94437
gen: auroc=0.89062, auprc=0.89243
dis: auroc=0.90625, auprc=0.94437
gen: auroc=0.28125, auprc=0.38953
dis: auroc=0.90625, auprc=0.94437
gen: auroc=0.70312, auprc=0.78127
dis: auroc=0.90625, auprc=0.93318
gen: auroc=0.65625, auprc=0.65463
dis: auroc=0.90625, auprc=0.93318
gen: auroc=0.34375, auprc=0.39990
dis: auroc=0.90625, auprc=0.93318
gen: auroc=0.70312, auprc=0.73580
dis: auroc=0.90625, auprc=0.93318
gen: auroc=0.76562, auprc=0.87051
dis: auroc=0.87500, auprc=0.90106
gen: auroc=0.85938, auprc=0.90219
dis: auroc=0.92188, auprc=0.92812
gen: auroc=0.51562, auprc=0.47411
dis: auroc=0.90625, auprc=0.91535
gen: auroc=0.82812, auprc=0.68201
dis: auroc=0.98438, auprc=0.98524
gen: auroc=0.65625, auprc=0.72665
dis: auroc=0.95312, auprc=0.95687
gen: auroc=0.43750, auprc=0.56173
dis: auroc=0.96875, auprc=0.97361
gen: auroc=0.53125, auprc=0.57409
dis: auroc=0.96875, auprc=0.97361
gen: auroc=0.53125, auprc=0.48658
dis: auroc=0.95312, auprc=0.96420
gen: auroc=0.60938, auprc=0.60969
dis: auroc=0.90625, auprc=0.93318
gen: auroc=0.67188, auprc=0.59692
dis: auroc=0.90625, auprc=0.93318
