gen: auroc=0.94031, auprc=0.94818
dis: auroc=0.91003, auprc=0.89304
gen: auroc=0.95934, auprc=0.96461
dis: auroc=0.89619, auprc=0.88753
gen: auroc=0.96540, auprc=0.96057
dis: auroc=0.89879, auprc=0.88437
gen: auroc=0.98529, auprc=0.98310
dis: auroc=0.87889, auprc=0.86141
gen: auroc=0.97059, auprc=0.96788
dis: auroc=0.85035, auprc=0.81874
gen: auroc=0.97059, auprc=0.94798
dis: auroc=0.85208, auprc=0.83700
gen: auroc=0.93166, auprc=0.88746
dis: auroc=0.83824, auprc=0.81505
gen: auroc=0.92561, auprc=0.85467
dis: auroc=0.83651, auprc=0.81373
gen: auroc=0.89792, auprc=0.81415
dis: auroc=0.85121, auprc=0.81911
gen: auroc=0.88149, auprc=0.78476
dis: auroc=0.88235, auprc=0.83895
gen: auroc=0.88408, auprc=0.78577
dis: auroc=0.85467, auprc=0.81641
gen: auroc=0.84516, auprc=0.71387
dis: auroc=0.83737, auprc=0.79842
gen: auroc=0.83304, auprc=0.71870
dis: auroc=0.83131, auprc=0.78203
gen: auroc=0.80017, auprc=0.67961
dis: auroc=0.82007, auprc=0.75096
gen: auroc=0.79498, auprc=0.67325
dis: auroc=0.81142, auprc=0.73634
gen: auroc=0.81401, auprc=0.68148
dis: auroc=0.82612, auprc=0.75791
gen: auroc=0.79498, auprc=0.66559
dis: auroc=0.85640, auprc=0.78596
gen: auroc=0.79066, auprc=0.66983
dis: auroc=0.86419, auprc=0.78955
gen: auroc=0.80623, auprc=0.68628
dis: auroc=0.85381, auprc=0.78148
gen: auroc=0.77422, auprc=0.65405
dis: auroc=0.85813, auprc=0.78814
gen: auroc=0.74481, auprc=0.63673
dis: auroc=0.87630, auprc=0.80181
gen: auroc=0.73616, auprc=0.62039
dis: auroc=0.87370, auprc=0.79505
gen: auroc=0.70761, auprc=0.60181
dis: auroc=0.88062, auprc=0.80373
gen: auroc=0.65830, auprc=0.57953
dis: auroc=0.86851, auprc=0.79963
gen: auroc=0.64533, auprc=0.57112
dis: auroc=0.51471, auprc=0.75735
gen: auroc=0.60900, auprc=0.54988
dis: auroc=0.51471, auprc=0.75735
gen: auroc=0.61938, auprc=0.56872
dis: auroc=0.51471, auprc=0.75735
gen: auroc=0.65744, auprc=0.58810
dis: auroc=0.51471, auprc=0.75735
gen: auroc=0.69377, auprc=0.59125
dis: auroc=0.51471, auprc=0.75735
gen: auroc=0.64619, auprc=0.55953
dis: auroc=0.51471, auprc=0.75735
