gen: auroc=0.96723, auprc=0.96238
dis: auroc=0.69571, auprc=0.74674
gen: auroc=0.97168, auprc=0.96550
dis: auroc=0.63964, auprc=0.66100
gen: auroc=0.97444, auprc=0.96824
dis: auroc=0.66556, auprc=0.67615
gen: auroc=0.97613, auprc=0.96932
dis: auroc=0.66754, auprc=0.66141
gen: auroc=0.97761, auprc=0.97065
dis: auroc=0.66641, auprc=0.64623
gen: auroc=0.97945, auprc=0.97330
dis: auroc=0.66591, auprc=0.64716
gen: auroc=0.98157, auprc=0.97610
dis: auroc=0.68936, auprc=0.68052
gen: auroc=0.98326, auprc=0.97884
dis: auroc=0.66033, auprc=0.67264
gen: auroc=0.98390, auprc=0.97929
dis: auroc=0.64416, auprc=0.64314
gen: auroc=0.98319, auprc=0.97766
dis: auroc=0.66351, auprc=0.63259
gen: auroc=0.98333, auprc=0.97724
dis: auroc=0.63661, auprc=0.61473
gen: auroc=0.98411, auprc=0.97812
dis: auroc=0.63110, auprc=0.60818
gen: auroc=0.98531, auprc=0.98058
dis: auroc=0.65920, auprc=0.62926
gen: auroc=0.98630, auprc=0.98175
dis: auroc=0.64671, auprc=0.62407
gen: auroc=0.98743, auprc=0.98375
dis: auroc=0.65447, auprc=0.62725
gen: auroc=0.98856, auprc=0.98536
dis: auroc=0.65228, auprc=0.63165
gen: auroc=0.98870, auprc=0.98472
dis: auroc=0.63661, auprc=0.62435
gen: auroc=0.98870, auprc=0.98443
dis: auroc=0.64148, auprc=0.61367
gen: auroc=0.98905, auprc=0.98479
dis: auroc=0.62750, auprc=0.59151
gen: auroc=0.98870, auprc=0.98463
dis: auroc=0.60359, auprc=0.58319
gen: auroc=0.98884, auprc=0.98492
dis: auroc=0.60081, auprc=0.57930
gen: auroc=0.98884, auprc=0.98533
dis: auroc=0.57514, auprc=0.55604
gen: auroc=0.98835, auprc=0.98421
dis: auroc=0.57514, auprc=0.55659
gen: auroc=0.98828, auprc=0.98411
dis: auroc=0.58089, auprc=0.56783
gen: auroc=0.98870, auprc=0.98469
dis: auroc=0.56871, auprc=0.56852
gen: auroc=0.98849, auprc=0.98477
dis: auroc=0.57789, auprc=0.58640
gen: auroc=0.98948, auprc=0.98689
dis: auroc=0.59226, auprc=0.59885
gen: auroc=0.98962, auprc=0.98763
dis: auroc=0.59883, auprc=0.61109
gen: auroc=0.98927, auprc=0.98719
dis: auroc=0.59007, auprc=0.60848
gen: auroc=0.98884, auprc=0.98659
dis: auroc=0.58986, auprc=0.60778
