gen: auroc=0.89819, auprc=0.82397
dis: auroc=0.77016, auprc=0.72383
gen: auroc=0.90550, auprc=0.82813
dis: auroc=0.65539, auprc=0.60023
gen: auroc=0.91236, auprc=0.83395
dis: auroc=0.67901, auprc=0.59824
gen: auroc=0.91998, auprc=0.83964
dis: auroc=0.60997, auprc=0.53019
gen: auroc=0.92486, auprc=0.84387
dis: auroc=0.57598, auprc=0.49764
gen: auroc=0.92654, auprc=0.84535
dis: auroc=0.48704, auprc=0.41091
gen: auroc=0.92791, auprc=0.84657
dis: auroc=0.48118, auprc=0.34691
gen: auroc=0.92882, auprc=0.84766
dis: auroc=0.48118, auprc=0.34691
gen: auroc=0.93172, auprc=0.85022
dis: auroc=0.47531, auprc=0.25000
gen: auroc=0.93446, auprc=0.85265
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93568, auprc=0.85348
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93629, auprc=0.85320
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93705, auprc=0.85335
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93720, auprc=0.85479
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93766, auprc=0.85561
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93690, auprc=0.85542
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.93858, auprc=0.85646
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.94025, auprc=0.85760
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.94208, auprc=0.85867
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.94422, auprc=0.86042
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.94559, auprc=0.86131
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.94833, auprc=0.86370
dis: auroc=0.48148, auprc=0.25000
gen: auroc=0.94970, auprc=0.86492
dis: auroc=0.48765, auprc=0.25000
gen: auroc=0.95077, auprc=0.86560
dis: auroc=0.48765, auprc=0.25000
gen: auroc=0.95168, auprc=0.86651
dis: auroc=0.49383, auprc=0.25000
gen: auroc=0.95199, auprc=0.86676
dis: auroc=0.49383, auprc=0.25000
gen: auroc=0.95260, auprc=0.86708
dis: auroc=0.49383, auprc=0.25000
gen: auroc=0.95367, auprc=0.86784
dis: auroc=0.49383, auprc=0.25000
gen: auroc=0.95260, auprc=0.86632
dis: auroc=0.49383, auprc=0.25000
gen: auroc=0.95367, auprc=0.86751
dis: auroc=0.49383, auprc=0.25000
