gen: auroc=0.95201, auprc=0.93397
dis: auroc=0.77564, auprc=0.75975
gen: auroc=0.95579, auprc=0.93649
dis: auroc=0.77531, auprc=0.73774
gen: auroc=0.96515, auprc=0.94709
dis: auroc=0.74096, auprc=0.70776
gen: auroc=0.96959, auprc=0.95379
dis: auroc=0.72321, auprc=0.67998
gen: auroc=0.97091, auprc=0.95375
dis: auroc=0.71400, auprc=0.66674
gen: auroc=0.96992, auprc=0.94802
dis: auroc=0.72206, auprc=0.66024
gen: auroc=0.96976, auprc=0.94772
dis: auroc=0.71335, auprc=0.66066
gen: auroc=0.97025, auprc=0.94633
dis: auroc=0.69773, auprc=0.65479
gen: auroc=0.97189, auprc=0.95029
dis: auroc=0.68869, auprc=0.63765
gen: auroc=0.97239, auprc=0.94399
dis: auroc=0.70168, auprc=0.63797
gen: auroc=0.97321, auprc=0.94509
dis: auroc=0.69625, auprc=0.63007
gen: auroc=0.97354, auprc=0.94245
dis: auroc=0.68310, auprc=0.61219
gen: auroc=0.97288, auprc=0.94173
dis: auroc=0.68195, auprc=0.60643
gen: auroc=0.97337, auprc=0.94171
dis: auroc=0.66584, auprc=0.59872
gen: auroc=0.97337, auprc=0.94148
dis: auroc=0.66511, auprc=0.59812
gen: auroc=0.97370, auprc=0.94229
dis: auroc=0.54939, auprc=0.58247
gen: auroc=0.97502, auprc=0.95018
dis: auroc=0.49926, auprc=0.49231
gen: auroc=0.97650, auprc=0.95779
dis: auroc=0.48693, auprc=0.37179
gen: auroc=0.97650, auprc=0.96318
dis: auroc=0.48693, auprc=0.37179
gen: auroc=0.97748, auprc=0.96689
dis: auroc=0.48077, auprc=0.25000
gen: auroc=0.97781, auprc=0.96542
dis: auroc=0.48077, auprc=0.25000
gen: auroc=0.97633, auprc=0.96417
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97617, auprc=0.96389
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97748, auprc=0.96594
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97847, auprc=0.96819
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97798, auprc=0.96679
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97945, auprc=0.96918
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97945, auprc=0.96805
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97863, auprc=0.96487
dis: auroc=0.48718, auprc=0.25000
gen: auroc=0.97798, auprc=0.96231
dis: auroc=0.48718, auprc=0.25000
