gen: auroc=0.94583, auprc=0.93617
dis: auroc=0.79592, auprc=0.79849
gen: auroc=0.94961, auprc=0.94028
dis: auroc=0.71076, auprc=0.71562
gen: auroc=0.95440, auprc=0.94695
dis: auroc=0.67120, auprc=0.67334
gen: auroc=0.95641, auprc=0.95043
dis: auroc=0.69967, auprc=0.70173
gen: auroc=0.95843, auprc=0.95299
dis: auroc=0.72134, auprc=0.71736
gen: auroc=0.95969, auprc=0.95338
dis: auroc=0.68506, auprc=0.68297
gen: auroc=0.96070, auprc=0.95490
dis: auroc=0.68355, auprc=0.67771
gen: auroc=0.96372, auprc=0.96158
dis: auroc=0.66868, auprc=0.66067
gen: auroc=0.96498, auprc=0.96473
dis: auroc=0.67070, auprc=0.65548
gen: auroc=0.96649, auprc=0.96726
dis: auroc=0.65130, auprc=0.63906
gen: auroc=0.96926, auprc=0.97160
dis: auroc=0.65634, auprc=0.63681
gen: auroc=0.96977, auprc=0.97160
dis: auroc=0.66692, auprc=0.64160
gen: auroc=0.96926, auprc=0.97050
dis: auroc=0.64475, auprc=0.62843
gen: auroc=0.97279, auprc=0.97454
dis: auroc=0.67246, auprc=0.65036
gen: auroc=0.97405, auprc=0.97571
dis: auroc=0.69413, auprc=0.65089
gen: auroc=0.97480, auprc=0.97634
dis: auroc=0.50013, auprc=0.50794
gen: auroc=0.97480, auprc=0.97637
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97405, auprc=0.97511
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97506, auprc=0.97714
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97380, auprc=0.97497
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97480, auprc=0.97594
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97480, auprc=0.97554
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97203, auprc=0.97280
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97027, auprc=0.97036
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97077, auprc=0.97196
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97229, auprc=0.97298
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97329, auprc=0.97476
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97405, auprc=0.97523
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97304, auprc=0.97363
dis: auroc=0.50794, auprc=0.75397
gen: auroc=0.97153, auprc=0.97162
dis: auroc=0.50794, auprc=0.75397
