gen: auroc=0.98307, auprc=0.98641
dis: auroc=0.86921, auprc=0.89859
gen: auroc=0.98598, auprc=0.98890
dis: auroc=0.80055, auprc=0.83548
gen: auroc=0.98750, auprc=0.99038
dis: auroc=0.74915, auprc=0.78188
gen: auroc=0.98902, auprc=0.99160
dis: auroc=0.72497, auprc=0.74973
gen: auroc=0.99028, auprc=0.99250
dis: auroc=0.68188, auprc=0.67403
gen: auroc=0.99112, auprc=0.99314
dis: auroc=0.66243, auprc=0.62864
gen: auroc=0.99116, auprc=0.99331
dis: auroc=0.64332, auprc=0.60849
gen: auroc=0.99090, auprc=0.99329
dis: auroc=0.66318, auprc=0.62991
gen: auroc=0.99057, auprc=0.99327
dis: auroc=0.50469, auprc=0.75235
gen: auroc=0.99028, auprc=0.99336
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98968, auprc=0.99298
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98940, auprc=0.99284
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98951, auprc=0.99267
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98896, auprc=0.99227
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98827, auprc=0.99176
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98761, auprc=0.99114
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98704, auprc=0.99054
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98660, auprc=0.99024
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98664, auprc=0.99052
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98682, auprc=0.99082
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98662, auprc=0.99069
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98633, auprc=0.99040
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98638, auprc=0.99024
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98631, auprc=0.98998
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98530, auprc=0.98887
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98479, auprc=0.98846
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98437, auprc=0.98800
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98402, auprc=0.98791
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98380, auprc=0.98772
dis: auroc=0.50235, auprc=0.75117
gen: auroc=0.98312, auprc=0.98696
dis: auroc=0.50235, auprc=0.75117
