gen: auroc=0.97833, auprc=0.98154
dis: auroc=0.68733, auprc=0.75531
gen: auroc=0.98362, auprc=0.98655
dis: auroc=0.63492, auprc=0.65166
gen: auroc=0.98816, auprc=0.98947
dis: auroc=0.60343, auprc=0.62355
gen: auroc=0.99017, auprc=0.99119
dis: auroc=0.62535, auprc=0.61397
gen: auroc=0.99395, auprc=0.99435
dis: auroc=0.63039, auprc=0.64437
gen: auroc=0.99496, auprc=0.99528
dis: auroc=0.64021, auprc=0.65922
gen: auroc=0.99723, auprc=0.99732
dis: auroc=0.68733, auprc=0.68161
gen: auroc=0.99748, auprc=0.99759
dis: auroc=0.70899, auprc=0.69967
gen: auroc=0.99798, auprc=0.99805
dis: auroc=0.68128, auprc=0.63732
gen: auroc=0.99824, auprc=0.99831
dis: auroc=0.62963, auprc=0.57110
gen: auroc=0.99950, auprc=0.99950
dis: auroc=0.60670, auprc=0.56665
gen: auroc=0.99950, auprc=0.99950
dis: auroc=0.56059, auprc=0.52648
gen: auroc=0.99950, auprc=0.99950
dis: auroc=0.55606, auprc=0.51488
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.55757, auprc=0.51123
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.56261, auprc=0.51176
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.57143, auprc=0.52078
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.57445, auprc=0.51026
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.60519, auprc=0.54345
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.62686, auprc=0.56120
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.60519, auprc=0.53326
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.59688, auprc=0.52459
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.47619, auprc=0.25000
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.49206, auprc=0.25000
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.49206, auprc=0.25000
gen: auroc=1.00000, auprc=1.00000
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.99975, auprc=0.99975
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.99950, auprc=0.99951
dis: auroc=0.49206, auprc=0.25000
