gen: auroc=0.85645, auprc=0.78010
dis: auroc=0.85739, auprc=0.79980
gen: auroc=0.86749, auprc=0.78788
dis: auroc=0.78221, auprc=0.68297
gen: auroc=0.87438, auprc=0.79205
dis: auroc=0.73765, auprc=0.62630
gen: auroc=0.87861, auprc=0.79427
dis: auroc=0.72425, auprc=0.60358
gen: auroc=0.88386, auprc=0.79760
dis: auroc=0.71074, auprc=0.60245
gen: auroc=0.88488, auprc=0.79785
dis: auroc=0.48230, auprc=0.25000
gen: auroc=0.88801, auprc=0.80030
dis: auroc=0.48230, auprc=0.25000
gen: auroc=0.89099, auprc=0.80191
dis: auroc=0.48230, auprc=0.25000
gen: auroc=0.89294, auprc=0.80230
dis: auroc=0.48230, auprc=0.25000
gen: auroc=0.89271, auprc=0.80079
dis: auroc=0.48230, auprc=0.25000
gen: auroc=0.89404, auprc=0.79995
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.89553, auprc=0.80111
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.89467, auprc=0.79922
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.89686, auprc=0.80086
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.89866, auprc=0.80097
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90187, auprc=0.80375
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90399, auprc=0.80514
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90344, auprc=0.80381
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90399, auprc=0.80345
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90563, auprc=0.80349
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90688, auprc=0.80520
dis: auroc=0.48673, auprc=0.25000
gen: auroc=0.90782, auprc=0.80550
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91111, auprc=0.80776
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91511, auprc=0.81214
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91722, auprc=0.81384
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91941, auprc=0.81638
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.92114, auprc=0.81640
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91887, auprc=0.81429
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91722, auprc=0.81252
dis: auroc=0.49115, auprc=0.25000
gen: auroc=0.91871, auprc=0.81475
dis: auroc=0.49115, auprc=0.25000
