gen: auroc=0.95368, auprc=0.93498
dis: auroc=0.77313, auprc=0.75883
gen: auroc=0.95902, auprc=0.93918
dis: auroc=0.69370, auprc=0.71444
gen: auroc=0.96373, auprc=0.94336
dis: auroc=0.69680, auprc=0.71720
gen: auroc=0.96855, auprc=0.94790
dis: auroc=0.51515, auprc=0.75758
gen: auroc=0.97228, auprc=0.94797
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97503, auprc=0.95071
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97572, auprc=0.95080
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97808, auprc=0.95286
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97882, auprc=0.95660
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97888, auprc=0.95660
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97819, auprc=0.95828
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97894, auprc=0.96144
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97888, auprc=0.96175
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97876, auprc=0.96206
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97785, auprc=0.96253
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97750, auprc=0.96323
dis: auroc=0.50379, auprc=0.75189
gen: auroc=0.97854, auprc=0.96600
dis: auroc=0.50003, auprc=0.50379
gen: auroc=0.97911, auprc=0.96888
dis: auroc=0.50003, auprc=0.50379
gen: auroc=0.97940, auprc=0.96971
dis: auroc=0.50379, auprc=0.58649
gen: auroc=0.97934, auprc=0.97015
dis: auroc=0.50385, auprc=0.58965
gen: auroc=0.97905, auprc=0.97043
dis: auroc=0.50385, auprc=0.58965
gen: auroc=0.97882, auprc=0.97029
dis: auroc=0.50379, auprc=0.58649
gen: auroc=0.97871, auprc=0.96943
dis: auroc=0.50373, auprc=0.58081
gen: auroc=0.97796, auprc=0.96828
dis: auroc=0.49997, auprc=0.49811
gen: auroc=0.97681, auprc=0.96679
dis: auroc=0.49997, auprc=0.49811
gen: auroc=0.97624, auprc=0.96618
dis: auroc=0.49997, auprc=0.49811
gen: auroc=0.97664, auprc=0.96752
dis: auroc=0.49621, auprc=0.25000
gen: auroc=0.97762, auprc=0.96988
dis: auroc=0.49621, auprc=0.25000
gen: auroc=0.97813, auprc=0.97114
dis: auroc=0.49621, auprc=0.25000
gen: auroc=0.97836, auprc=0.97147
dis: auroc=0.49621, auprc=0.25000
