gen: auroc=0.97272, auprc=0.95290
dis: auroc=0.76514, auprc=0.79527
gen: auroc=0.97769, auprc=0.95561
dis: auroc=0.70656, auprc=0.71459
gen: auroc=0.98124, auprc=0.95811
dis: auroc=0.68023, auprc=0.68136
gen: auroc=0.98344, auprc=0.95971
dis: auroc=0.64636, auprc=0.63395
gen: auroc=0.98479, auprc=0.96077
dis: auroc=0.65042, auprc=0.64220
gen: auroc=0.98587, auprc=0.96158
dis: auroc=0.64180, auprc=0.61678
gen: auroc=0.98617, auprc=0.96164
dis: auroc=0.49424, auprc=0.37863
gen: auroc=0.98574, auprc=0.96109
dis: auroc=0.49713, auprc=0.42006
gen: auroc=0.98570, auprc=0.96106
dis: auroc=0.49713, auprc=0.42006
gen: auroc=0.98597, auprc=0.96128
dis: auroc=0.49713, auprc=0.42006
gen: auroc=0.98675, auprc=0.96210
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98685, auprc=0.96214
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98709, auprc=0.96238
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98712, auprc=0.96227
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98661, auprc=0.96161
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98648, auprc=0.96155
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98645, auprc=0.96140
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98590, auprc=0.96070
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98533, auprc=0.96002
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98519, auprc=0.96037
dis: auroc=0.50002, auprc=0.50291
gen: auroc=0.98540, auprc=0.96063
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98536, auprc=0.96095
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98523, auprc=0.96100
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98489, auprc=0.96062
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98317, auprc=0.95863
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98138, auprc=0.95654
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98121, auprc=0.95664
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.98056, auprc=0.95607
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.97921, auprc=0.95412
dis: auroc=0.50291, auprc=0.75145
gen: auroc=0.97881, auprc=0.95397
dis: auroc=0.50291, auprc=0.75145
