gen: auroc=0.93735, auprc=0.91823
dis: auroc=0.68857, auprc=0.74816
gen: auroc=0.94245, auprc=0.92557
dis: auroc=0.69592, auprc=0.74027
gen: auroc=0.94551, auprc=0.92726
dis: auroc=0.67408, auprc=0.71579
gen: auroc=0.94837, auprc=0.93056
dis: auroc=0.65878, auprc=0.68836
gen: auroc=0.94980, auprc=0.93002
dis: auroc=0.68204, auprc=0.69664
gen: auroc=0.95000, auprc=0.92972
dis: auroc=0.66776, auprc=0.69478
gen: auroc=0.94939, auprc=0.92878
dis: auroc=0.65755, auprc=0.66818
gen: auroc=0.95020, auprc=0.93209
dis: auroc=0.65122, auprc=0.65469
gen: auroc=0.95184, auprc=0.93618
dis: auroc=0.63633, auprc=0.62022
gen: auroc=0.95327, auprc=0.94022
dis: auroc=0.56878, auprc=0.55006
gen: auroc=0.95388, auprc=0.94081
dis: auroc=0.59939, auprc=0.55935
gen: auroc=0.95122, auprc=0.93497
dis: auroc=0.57980, auprc=0.56067
gen: auroc=0.95245, auprc=0.93265
dis: auroc=0.57673, auprc=0.56000
gen: auroc=0.95327, auprc=0.93187
dis: auroc=0.58653, auprc=0.55106
gen: auroc=0.95490, auprc=0.93256
dis: auroc=0.62653, auprc=0.58081
gen: auroc=0.95592, auprc=0.93508
dis: auroc=0.64571, auprc=0.59653
gen: auroc=0.95490, auprc=0.93335
dis: auroc=0.69510, auprc=0.66178
gen: auroc=0.95469, auprc=0.92936
dis: auroc=0.72102, auprc=0.67165
gen: auroc=0.95571, auprc=0.93233
dis: auroc=0.71531, auprc=0.66045
gen: auroc=0.95755, auprc=0.93591
dis: auroc=0.71347, auprc=0.64954
gen: auroc=0.95592, auprc=0.92802
dis: auroc=0.75102, auprc=0.71945
gen: auroc=0.95347, auprc=0.90808
dis: auroc=0.71082, auprc=0.70310
gen: auroc=0.95102, auprc=0.90843
dis: auroc=0.53571, auprc=0.59899
gen: auroc=0.95061, auprc=0.90546
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94939, auprc=0.89477
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94776, auprc=0.89176
dis: auroc=0.49286, auprc=0.25000
gen: auroc=0.94755, auprc=0.88372
dis: auroc=0.47857, auprc=0.25000
gen: auroc=0.94837, auprc=0.88780
dis: auroc=0.47857, auprc=0.25000
gen: auroc=0.94898, auprc=0.89036
dis: auroc=0.48571, auprc=0.25000
gen: auroc=0.94796, auprc=0.87271
dis: auroc=0.48571, auprc=0.25000
