gen: auroc=0.94741, auprc=0.95296
dis: auroc=0.87436, auprc=0.89575
gen: auroc=0.95325, auprc=0.95788
dis: auroc=0.86925, auprc=0.89423
gen: auroc=0.95909, auprc=0.96046
dis: auroc=0.85318, auprc=0.85528
gen: auroc=0.96421, auprc=0.95796
dis: auroc=0.85026, auprc=0.83303
gen: auroc=0.98174, auprc=0.98059
dis: auroc=0.82834, auprc=0.79948
gen: auroc=0.97516, auprc=0.97461
dis: auroc=0.84806, auprc=0.81172
gen: auroc=0.98320, auprc=0.98195
dis: auroc=0.86633, auprc=0.83223
gen: auroc=0.96421, auprc=0.96219
dis: auroc=0.87947, auprc=0.82675
gen: auroc=0.96275, auprc=0.96095
dis: auroc=0.88459, auprc=0.81507
gen: auroc=0.93207, auprc=0.91819
dis: auroc=0.86048, auprc=0.77556
gen: auroc=0.92768, auprc=0.91694
dis: auroc=0.84295, auprc=0.75779
gen: auroc=0.90650, auprc=0.88742
dis: auroc=0.82688, auprc=0.73652
gen: auroc=0.87436, auprc=0.86055
dis: auroc=0.82907, auprc=0.74494
gen: auroc=0.84733, auprc=0.83400
dis: auroc=0.83711, auprc=0.75377
gen: auroc=0.85464, auprc=0.81451
dis: auroc=0.83638, auprc=0.75369
gen: auroc=0.83711, auprc=0.80683
dis: auroc=0.81958, auprc=0.70337
gen: auroc=0.83492, auprc=0.79292
dis: auroc=0.80497, auprc=0.71532
gen: auroc=0.84222, auprc=0.78553
dis: auroc=0.79474, auprc=0.70781
gen: auroc=0.84368, auprc=0.81434
dis: auroc=0.79766, auprc=0.71502
gen: auroc=0.77794, auprc=0.74405
dis: auroc=0.78232, auprc=0.71387
gen: auroc=0.81154, auprc=0.77358
dis: auroc=0.79766, auprc=0.73419
gen: auroc=0.81738, auprc=0.75889
dis: auroc=0.80278, auprc=0.73693
gen: auroc=0.80351, auprc=0.76475
dis: auroc=0.82104, auprc=0.76101
gen: auroc=0.79036, auprc=0.73944
dis: auroc=0.83199, auprc=0.77129
gen: auroc=0.79328, auprc=0.74651
dis: auroc=0.83126, auprc=0.76373
gen: auroc=0.79912, auprc=0.74614
dis: auroc=0.82250, auprc=0.76007
gen: auroc=0.80424, auprc=0.75130
dis: auroc=0.50037, auprc=0.51351
gen: auroc=0.81081, auprc=0.76044
dis: auroc=0.50037, auprc=0.51351
gen: auroc=0.81300, auprc=0.77510
dis: auroc=0.51351, auprc=0.75676
gen: auroc=0.79255, auprc=0.73741
dis: auroc=0.51351, auprc=0.75676
