gen: auroc=0.95885, auprc=0.95572
dis: auroc=0.88203, auprc=0.86318
gen: auroc=0.97805, auprc=0.98048
dis: auroc=0.85734, auprc=0.82827
gen: auroc=0.97805, auprc=0.96860
dis: auroc=0.84225, auprc=0.79884
gen: auroc=0.97119, auprc=0.95795
dis: auroc=0.82990, auprc=0.76279
gen: auroc=0.96708, auprc=0.96661
dis: auroc=0.78738, auprc=0.69065
gen: auroc=0.98765, auprc=0.98926
dis: auroc=0.78189, auprc=0.68210
gen: auroc=0.93278, auprc=0.91548
dis: auroc=0.75720, auprc=0.66350
gen: auroc=0.90123, auprc=0.89227
dis: auroc=0.77092, auprc=0.66826
gen: auroc=0.89438, auprc=0.84416
dis: auroc=0.77503, auprc=0.67584
gen: auroc=0.84636, auprc=0.83813
dis: auroc=0.77366, auprc=0.67328
gen: auroc=0.83265, auprc=0.78246
dis: auroc=0.79012, auprc=0.68274
gen: auroc=0.81481, auprc=0.78289
dis: auroc=0.79424, auprc=0.68339
gen: auroc=0.82579, auprc=0.78607
dis: auroc=0.83128, auprc=0.70186
gen: auroc=0.80110, auprc=0.75779
dis: auroc=0.82990, auprc=0.69813
gen: auroc=0.80933, auprc=0.77006
dis: auroc=0.83813, auprc=0.70658
gen: auroc=0.70508, auprc=0.59776
dis: auroc=0.84088, auprc=0.70847
gen: auroc=0.77366, auprc=0.69413
dis: auroc=0.83402, auprc=0.69884
gen: auroc=0.73251, auprc=0.62032
dis: auroc=0.83951, auprc=0.70827
gen: auroc=0.73663, auprc=0.68952
dis: auroc=0.83951, auprc=0.71008
gen: auroc=0.78601, auprc=0.69017
dis: auroc=0.83265, auprc=0.70404
gen: auroc=0.73114, auprc=0.66074
dis: auroc=0.83813, auprc=0.71009
gen: auroc=0.73114, auprc=0.62936
dis: auroc=0.83676, auprc=0.70929
gen: auroc=0.69959, auprc=0.59214
dis: auroc=0.83676, auprc=0.71129
gen: auroc=0.71879, auprc=0.62692
dis: auroc=0.83402, auprc=0.70872
gen: auroc=0.69959, auprc=0.61779
dis: auroc=0.83676, auprc=0.71018
gen: auroc=0.70233, auprc=0.58695
dis: auroc=0.82990, auprc=0.70476
gen: auroc=0.69410, auprc=0.57878
dis: auroc=0.82030, auprc=0.69884
gen: auroc=0.67627, auprc=0.56490
dis: auroc=0.82853, auprc=0.70538
gen: auroc=0.62689, auprc=0.52114
dis: auroc=0.82853, auprc=0.70686
gen: auroc=0.60494, auprc=0.51226
dis: auroc=0.82442, auprc=0.70811
