gen: auroc=0.97732, auprc=0.97963
dis: auroc=0.92349, auprc=0.92474
gen: auroc=0.97885, auprc=0.98139
dis: auroc=0.89773, auprc=0.90488
gen: auroc=0.97847, auprc=0.98135
dis: auroc=0.86544, auprc=0.86007
gen: auroc=0.97347, auprc=0.97057
dis: auroc=0.87197, auprc=0.86360
gen: auroc=0.97001, auprc=0.96852
dis: auroc=0.86467, auprc=0.83691
gen: auroc=0.96271, auprc=0.96190
dis: auroc=0.84737, auprc=0.80406
gen: auroc=0.95463, auprc=0.95320
dis: auroc=0.86582, auprc=0.80844
gen: auroc=0.94079, auprc=0.92635
dis: auroc=0.85160, auprc=0.77739
gen: auroc=0.94617, auprc=0.93995
dis: auroc=0.83583, auprc=0.75008
gen: auroc=0.91080, auprc=0.90886
dis: auroc=0.82737, auprc=0.74316
gen: auroc=0.91657, auprc=0.91072
dis: auroc=0.85121, auprc=0.76701
gen: auroc=0.88697, auprc=0.86343
dis: auroc=0.85621, auprc=0.77690
gen: auroc=0.84468, auprc=0.84635
dis: auroc=0.86774, auprc=0.78663
gen: auroc=0.84006, auprc=0.82417
dis: auroc=0.85506, auprc=0.75747
gen: auroc=0.85621, auprc=0.85553
dis: auroc=0.85313, auprc=0.75212
gen: auroc=0.83814, auprc=0.81853
dis: auroc=0.84083, auprc=0.73169
gen: auroc=0.78739, auprc=0.78306
dis: auroc=0.83429, auprc=0.72112
gen: auroc=0.78854, auprc=0.77692
dis: auroc=0.82622, auprc=0.70969
gen: auroc=0.77047, auprc=0.74995
dis: auroc=0.81161, auprc=0.70796
gen: auroc=0.80930, auprc=0.77795
dis: auroc=0.80969, auprc=0.70842
gen: auroc=0.75356, auprc=0.73309
dis: auroc=0.80815, auprc=0.71214
gen: auroc=0.74279, auprc=0.72754
dis: auroc=0.80738, auprc=0.70719
gen: auroc=0.71742, auprc=0.68775
dis: auroc=0.80738, auprc=0.70727
gen: auroc=0.69012, auprc=0.66690
dis: auroc=0.80892, auprc=0.71503
gen: auroc=0.68435, auprc=0.66930
dis: auroc=0.79008, auprc=0.69577
gen: auroc=0.67090, auprc=0.65986
dis: auroc=0.80815, auprc=0.71105
gen: auroc=0.65359, auprc=0.61469
dis: auroc=0.78893, auprc=0.68728
gen: auroc=0.63937, auprc=0.59670
dis: auroc=0.79277, auprc=0.68711
gen: auroc=0.65206, auprc=0.59743
dis: auroc=0.79354, auprc=0.68906
gen: auroc=0.64437, auprc=0.59893
dis: auroc=0.78547, auprc=0.68196
