gen: auroc=0.91022, auprc=0.87407
dis: auroc=0.77665, auprc=0.77365
gen: auroc=0.91846, auprc=0.87976
dis: auroc=0.74493, auprc=0.72991
gen: auroc=0.92541, auprc=0.88441
dis: auroc=0.76479, auprc=0.72549
gen: auroc=0.93128, auprc=0.88837
dis: auroc=0.71983, auprc=0.64302
gen: auroc=0.93399, auprc=0.89035
dis: auroc=0.49992, auprc=0.49731
gen: auroc=0.93365, auprc=0.88975
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.93432, auprc=0.88993
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.93565, auprc=0.89027
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.93648, auprc=0.88989
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.93861, auprc=0.89128
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94056, auprc=0.89180
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94327, auprc=0.89414
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94472, auprc=0.89487
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94447, auprc=0.89459
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94556, auprc=0.89540
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94755, auprc=0.89613
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94909, auprc=0.89778
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.95047, auprc=0.89754
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.95051, auprc=0.89645
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.95055, auprc=0.89603
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94976, auprc=0.89411
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94872, auprc=0.89180
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94847, auprc=0.89176
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94922, auprc=0.89442
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.94976, auprc=0.89642
dis: auroc=0.49355, auprc=0.25000
gen: auroc=0.95005, auprc=0.89873
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.95051, auprc=0.89963
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.95130, auprc=0.89932
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.95084, auprc=0.89646
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.94876, auprc=0.89193
dis: auroc=0.49677, auprc=0.25000
