gen: auroc=0.98929, auprc=0.98879
dis: auroc=0.88043, auprc=0.87683
gen: auroc=0.99405, auprc=0.99388
dis: auroc=0.85306, auprc=0.86560
gen: auroc=0.99584, auprc=0.99601
dis: auroc=0.82689, auprc=0.83762
gen: auroc=0.99465, auprc=0.99500
dis: auroc=0.78346, auprc=0.77928
gen: auroc=0.98870, auprc=0.98836
dis: auroc=0.74777, auprc=0.73906
gen: auroc=0.97858, auprc=0.97632
dis: auroc=0.72159, auprc=0.72654
gen: auroc=0.97026, auprc=0.96574
dis: auroc=0.71148, auprc=0.72723
gen: auroc=0.97323, auprc=0.97547
dis: auroc=0.76502, auprc=0.76693
gen: auroc=0.95955, auprc=0.96164
dis: auroc=0.75312, auprc=0.74736
gen: auroc=0.94587, auprc=0.94764
dis: auroc=0.76383, auprc=0.75065
gen: auroc=0.93397, auprc=0.93460
dis: auroc=0.75669, auprc=0.73117
gen: auroc=0.90006, auprc=0.90373
dis: auroc=0.76681, auprc=0.75959
gen: auroc=0.88340, auprc=0.87623
dis: auroc=0.76562, auprc=0.72807
gen: auroc=0.88400, auprc=0.84282
dis: auroc=0.75550, auprc=0.72251
gen: auroc=0.86258, auprc=0.84082
dis: auroc=0.73528, auprc=0.72058
gen: auroc=0.78049, auprc=0.69872
dis: auroc=0.71743, auprc=0.68235
gen: auroc=0.77573, auprc=0.67703
dis: auroc=0.69958, auprc=0.65914
gen: auroc=0.76562, auprc=0.68271
dis: auroc=0.71089, auprc=0.67949
gen: auroc=0.76859, auprc=0.69884
dis: auroc=0.70077, auprc=0.66397
gen: auroc=0.75729, auprc=0.65982
dis: auroc=0.72933, auprc=0.68251
gen: auroc=0.78703, auprc=0.70024
dis: auroc=0.72695, auprc=0.69032
gen: auroc=0.75729, auprc=0.66620
dis: auroc=0.74955, auprc=0.70752
gen: auroc=0.76740, auprc=0.68619
dis: auroc=0.74955, auprc=0.72264
gen: auroc=0.74479, auprc=0.66766
dis: auroc=0.73825, auprc=0.71547
gen: auroc=0.76800, auprc=0.68916
dis: auroc=0.73647, auprc=0.69105
gen: auroc=0.73349, auprc=0.63725
dis: auroc=0.74658, auprc=0.70370
gen: auroc=0.75491, auprc=0.69008
dis: auroc=0.75431, auprc=0.71827
gen: auroc=0.74896, auprc=0.66925
dis: auroc=0.74658, auprc=0.71782
gen: auroc=0.74301, auprc=0.65995
dis: auroc=0.77989, auprc=0.73645
gen: auroc=0.71089, auprc=0.61714
dis: auroc=0.76978, auprc=0.71425
