gen: auroc=0.94645, auprc=0.93161
dis: auroc=0.89843, auprc=0.84592
gen: auroc=0.95075, auprc=0.95091
dis: auroc=0.88181, auprc=0.85904
gen: auroc=0.94768, auprc=0.95154
dis: auroc=0.89227, auprc=0.87033
gen: auroc=0.95260, auprc=0.96142
dis: auroc=0.88396, auprc=0.85545
gen: auroc=0.94952, auprc=0.96083
dis: auroc=0.86488, auprc=0.84509
gen: auroc=0.94183, auprc=0.93787
dis: auroc=0.84488, auprc=0.83743
gen: auroc=0.93598, auprc=0.93810
dis: auroc=0.84241, auprc=0.83116
gen: auroc=0.91382, auprc=0.90639
dis: auroc=0.84611, auprc=0.84751
gen: auroc=0.89289, auprc=0.85957
dis: auroc=0.84734, auprc=0.85130
gen: auroc=0.87473, auprc=0.83159
dis: auroc=0.85780, auprc=0.88322
gen: auroc=0.83903, auprc=0.78101
dis: auroc=0.83564, auprc=0.85683
gen: auroc=0.82856, auprc=0.76902
dis: auroc=0.81471, auprc=0.81678
gen: auroc=0.83810, auprc=0.74163
dis: auroc=0.82641, auprc=0.82359
gen: auroc=0.81717, auprc=0.74325
dis: auroc=0.82641, auprc=0.82557
gen: auroc=0.84180, auprc=0.75116
dis: auroc=0.84857, auprc=0.85020
gen: auroc=0.83810, auprc=0.77800
dis: auroc=0.83749, auprc=0.85580
gen: auroc=0.84118, auprc=0.76463
dis: auroc=0.85965, auprc=0.84627
gen: auroc=0.82302, auprc=0.73828
dis: auroc=0.85103, auprc=0.81077
gen: auroc=0.78393, auprc=0.71376
dis: auroc=0.83072, auprc=0.79423
gen: auroc=0.77162, auprc=0.66959
dis: auroc=0.84888, auprc=0.80999
gen: auroc=0.74946, auprc=0.63908
dis: auroc=0.84426, auprc=0.81704
gen: auroc=0.75069, auprc=0.64829
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.74484, auprc=0.64131
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.67251, auprc=0.60647
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.70606, auprc=0.62894
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.69529, auprc=0.62518
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.65405, auprc=0.59784
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.67805, auprc=0.61512
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.67744, auprc=0.61556
dis: auroc=0.50877, auprc=0.75439
gen: auroc=0.70114, auprc=0.62217
dis: auroc=0.50877, auprc=0.75439
