gen: auroc=0.97776, auprc=0.98527
dis: auroc=0.80821, auprc=0.83615
gen: auroc=0.97938, auprc=0.98678
dis: auroc=0.73363, auprc=0.77839
gen: auroc=0.97973, auprc=0.98724
dis: auroc=0.70680, auprc=0.71185
gen: auroc=0.98206, auprc=0.98903
dis: auroc=0.68583, auprc=0.67858
gen: auroc=0.98369, auprc=0.98979
dis: auroc=0.67403, auprc=0.63638
gen: auroc=0.98411, auprc=0.99011
dis: auroc=0.67107, auprc=0.61786
gen: auroc=0.98658, auprc=0.99151
dis: auroc=0.67502, auprc=0.60972
gen: auroc=0.98955, auprc=0.99366
dis: auroc=0.68194, auprc=0.60373
gen: auroc=0.98990, auprc=0.99401
dis: auroc=0.67432, auprc=0.59745
gen: auroc=0.99025, auprc=0.99438
dis: auroc=0.67778, auprc=0.59768
gen: auroc=0.99040, auprc=0.99451
dis: auroc=0.68519, auprc=0.60951
gen: auroc=0.99011, auprc=0.99428
dis: auroc=0.68526, auprc=0.61434
gen: auroc=0.99011, auprc=0.99427
dis: auroc=0.67432, auprc=0.60751
gen: auroc=0.99004, auprc=0.99420
dis: auroc=0.66839, auprc=0.60300
gen: auroc=0.98990, auprc=0.99404
dis: auroc=0.69134, auprc=0.62042
gen: auroc=0.99004, auprc=0.99416
dis: auroc=0.69148, auprc=0.62938
gen: auroc=0.99004, auprc=0.99415
dis: auroc=0.70214, auprc=0.63433
gen: auroc=0.98976, auprc=0.99394
dis: auroc=0.71203, auprc=0.64099
gen: auroc=0.98983, auprc=0.99401
dis: auroc=0.69232, auprc=0.61572
gen: auroc=0.98969, auprc=0.99387
dis: auroc=0.68773, auprc=0.60782
gen: auroc=0.98962, auprc=0.99380
dis: auroc=0.68392, auprc=0.61599
gen: auroc=0.98962, auprc=0.99388
dis: auroc=0.67022, auprc=0.59495
gen: auroc=0.98962, auprc=0.99389
dis: auroc=0.65433, auprc=0.57808
gen: auroc=0.98962, auprc=0.99390
dis: auroc=0.63082, auprc=0.55886
gen: auroc=0.98990, auprc=0.99415
dis: auroc=0.60681, auprc=0.53752
gen: auroc=0.98990, auprc=0.99415
dis: auroc=0.58308, auprc=0.52394
gen: auroc=0.98990, auprc=0.99414
dis: auroc=0.58569, auprc=0.52918
gen: auroc=0.98962, auprc=0.99384
dis: auroc=0.58583, auprc=0.52918
gen: auroc=0.98955, auprc=0.99376
dis: auroc=0.59946, auprc=0.54566
gen: auroc=0.98955, auprc=0.99376
dis: auroc=0.60667, auprc=0.54570
