gen: auroc=0.92604, auprc=0.89099
dis: auroc=0.85172, auprc=0.82945
gen: auroc=0.93549, auprc=0.89845
dis: auroc=0.79041, auprc=0.71865
gen: auroc=0.94116, auprc=0.90338
dis: auroc=0.79820, auprc=0.71338
gen: auroc=0.94341, auprc=0.90484
dis: auroc=0.71727, auprc=0.60802
gen: auroc=0.94530, auprc=0.90460
dis: auroc=0.68242, auprc=0.57792
gen: auroc=0.94802, auprc=0.90696
dis: auroc=0.48913, auprc=0.25000
gen: auroc=0.95097, auprc=0.90911
dis: auroc=0.48913, auprc=0.25000
gen: auroc=0.94955, auprc=0.90789
dis: auroc=0.48913, auprc=0.25000
gen: auroc=0.95073, auprc=0.90895
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95262, auprc=0.90969
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95215, auprc=0.90864
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95038, auprc=0.90741
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.94943, auprc=0.90570
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95050, auprc=0.90563
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95061, auprc=0.90400
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95250, auprc=0.90537
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95404, auprc=0.90723
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95357, auprc=0.90668
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95250, auprc=0.90751
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95475, auprc=0.91043
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95345, auprc=0.91021
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95487, auprc=0.91455
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95510, auprc=0.91659
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95534, auprc=0.91840
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95605, auprc=0.91957
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95735, auprc=0.92077
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95794, auprc=0.92073
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95829, auprc=0.92032
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95912, auprc=0.92016
dis: auroc=0.49457, auprc=0.25000
gen: auroc=0.95723, auprc=0.91803
dis: auroc=0.49457, auprc=0.25000
