gen: auroc=0.87631, auprc=0.83646
dis: auroc=0.77814, auprc=0.77733
gen: auroc=0.88606, auprc=0.84348
dis: auroc=0.72923, auprc=0.69214
gen: auroc=0.89345, auprc=0.84816
dis: auroc=0.67035, auprc=0.59774
gen: auroc=0.89913, auprc=0.85221
dis: auroc=0.65949, auprc=0.57915
gen: auroc=0.90203, auprc=0.85371
dis: auroc=0.48841, auprc=0.41382
gen: auroc=0.90477, auprc=0.85550
dis: auroc=0.49424, auprc=0.37428
gen: auroc=0.90541, auprc=0.85556
dis: auroc=0.49424, auprc=0.37428
gen: auroc=0.90825, auprc=0.85600
dis: auroc=0.49424, auprc=0.37428
gen: auroc=0.91086, auprc=0.85756
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.91336, auprc=0.85970
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.91687, auprc=0.86279
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.91981, auprc=0.86582
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.92058, auprc=0.86615
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.92075, auprc=0.86598
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.92098, auprc=0.86745
dis: auroc=0.49998, auprc=0.49855
gen: auroc=0.92192, auprc=0.86713
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92369, auprc=0.86849
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92499, auprc=0.86918
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92756, auprc=0.87123
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92846, auprc=0.87211
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92803, auprc=0.87077
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.93020, auprc=0.87154
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.93017, auprc=0.87073
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.93084, auprc=0.87215
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.93171, auprc=0.87401
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.93137, auprc=0.87323
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92990, auprc=0.87001
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92987, auprc=0.86935
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.92866, auprc=0.86629
dis: auroc=0.49711, auprc=0.25000
gen: auroc=0.93027, auprc=0.86660
dis: auroc=0.49711, auprc=0.25000
