gen: auroc=0.97983, auprc=0.98435
dis: auroc=0.83441, auprc=0.86985
gen: auroc=0.98405, auprc=0.98766
dis: auroc=0.76222, auprc=0.77638
gen: auroc=0.98679, auprc=0.98996
dis: auroc=0.72927, auprc=0.74326
gen: auroc=0.98849, auprc=0.99138
dis: auroc=0.71344, auprc=0.71863
gen: auroc=0.98985, auprc=0.99244
dis: auroc=0.68067, auprc=0.67683
gen: auroc=0.99072, auprc=0.99312
dis: auroc=0.66994, auprc=0.66803
gen: auroc=0.99209, auprc=0.99377
dis: auroc=0.65360, auprc=0.64916
gen: auroc=0.99360, auprc=0.99467
dis: auroc=0.65641, auprc=0.65315
gen: auroc=0.99438, auprc=0.99520
dis: auroc=0.65766, auprc=0.65357
gen: auroc=0.99490, auprc=0.99558
dis: auroc=0.64209, auprc=0.64315
gen: auroc=0.99497, auprc=0.99565
dis: auroc=0.50190, auprc=0.75095
gen: auroc=0.99508, auprc=0.99569
dis: auroc=0.50190, auprc=0.75095
gen: auroc=0.99532, auprc=0.99583
dis: auroc=0.50190, auprc=0.75095
